,company,title
92,IU International University of Applied Sciences,Duales Studium Immobilienwirtschaft (B.A.) am Campus oder online
93,adesso insurance solutions GmbH,Business Analyst Requirements Engineering für Meldewesen (all genders) für die adesso insurance solutions GmbH
94,IU International University of Applied Sciences,Duales Studium Immobilienwirtschaft (B.A.) am Campus oder online
95,Grafton Recruitment,German speaking Social Media Analyst (gn)
96,KPMG Deutschland,Praktikum (w/m/d) Business Research & Analysis
97,GAS German Aviation Service GmbH,BAS Berlin Aviation Service GmbH sucht Follow Me Fahrer & GAT Mitarbeiter (m/w/d) in Vollzeit
98,GAS German Aviation Service GmbH,BAS Berlin Aviation Service GmbH sucht Customer Service Representatives (m/w/d) in Voll- und Teilzeit
99,IU International University of Applied Sciences,Duales Studium Mediendesign (B.A.) am Campus oder online
100,NTT DATA DACH,Senior Managing Consultant/Executive Technology Innovation (w/m/x)
101,Deloitte,Duales Studium Wirtschaftsprüfung (B.A.) 2024
102,CGI,Business Analyst/ Product Owner/Requirements Engineer (m/w/d)
103,GetYourGuide,"Senior Data Analyst, Marketing/Measurement"
104,Avea Life,Business Intelligence Data Analyst
105,JustPlay,Marketing Data Analyst (all genders)
106,Primal State Performance GmbH,Senior Data Analyst/BI Expert (all genders)
107,Kolibri Games,Game Data Analyst (f/m/d)
108,Linearity,Lead Data Analyst
109,VielfaltMenü GmbH,Data Analyst Power BI (m/w/d)
110,Robert Half,Business Data Analyst (w/m/d)
111,Maximon - The Longevity Company Builder,Business Intelligence Data Analyst
112,Urban Sports Club,Senior Data Analyst (all genders) - Acquisition
113,AirHelp,Senior Marketing Data Analyst
114,Energy Jobline,"Online Tracking Analyst (m/f/d) in Berlin, Deutschland"
115,DR. KADE Health Care,Commercial Insights Analyst (m/w/d)
116,Energy Jobline,"Online Tracking Analyst (m/w/d) in Berlin, Deutschland"
117,Ing.ges. BBP Bauconsulting GmbH,Berufseinsteiger / Absolvent / Junior Ingenieur / Planer TGA HLS (m/w/d) bei Generalplaner BA-20
118,DR. KADE Pharmazeutische Fabrik GmbH,Commercial Insights Analyst (m/w/d)
119,Ing.ges. BBP Bauconsulting GmbH,Projektingenieur Gebäude- und Haustechnik / TGA HLS (m/w/d) Generalplaner BA-23
120,msg,Business Consultant Data Architecture und Data Analysis Supply Solutions (m/w/d)
121,Ing.ges. BBP Bauconsulting GmbH,Berufseinsteiger / Junior Projektingenieur / Fachplaner Elektrotechnik (m/w/d) BA-21
122,ChannelEngine,Senior Revenue Operations Analyst
123,BWI GmbH,Business Analyst Transmission Systeme (m/w/d)
124,ProPotsdam GmbH,"Business-Analyst*in (m/w/i) – Vollzeit, unbefristet"
125,IU International University of Applied Sciences,Duales Studium Mediendesign (B.A.) am Campus oder online
126,Deutsche Bahn,Senior Business Analyst:in Digitalisierung Baumanagement
127,Capgemini,Consultant / Business Analyst / Projektmanager Life Sciences & Chemicals (w/m/d)
128,Ing.ges. BBP Bauconsulting GmbH,"Techniker Heizungs-, Lüftungs-, Klimatechnik TGA als Bauleiter (m/w/d) BA-25"
129,Ing.ges. BBP Bauconsulting GmbH,Ingenieur Fachplaner TGA Heizung u. Lüftung (m/w/d) Generalplaner BA-22
130,Diehl Metall,Werkstudent (m/w/d) Wissensmanagement mit Option BA oder MA-Thesis
