,joblinks
21,https://de.linkedin.com/jobs/view/senior-marketing-analyst-m-f-d-at-contorion-3785684995?refId=64EJlqDpOUPnBAcu6lCtIA%3D%3D&trackingId=%2FHpEomf%2FPchFCiFNkYhLGQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
22,https://de.linkedin.com/jobs/view/senior-marketing-analyst-d-f-m-at-scout24-gruppe-3763571970?refId=64EJlqDpOUPnBAcu6lCtIA%3D%3D&trackingId=znpv1jXH9KWXDkgl7CSTLw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
23,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-mediamarktsaturn-3801293970?refId=64EJlqDpOUPnBAcu6lCtIA%3D%3D&trackingId=JZ2b5roJGy5DpFNQkiyVVA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
24,https://de.linkedin.com/jobs/view/business-analyst-in-data-migration-manager-in-sap-s-4hana-at-deutsche-bahn-3802858957?refId=8%2FWTbww8iY4Pd%2BWlCGoAKw%3D%3D&trackingId=8I8ba4EMXVO3LpAPV02X6Q%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
25,https://de.linkedin.com/jobs/view/lead-data-analyst-%E2%80%93-marketing-strategy-analytics-bangkok-based-relocation-provided-at-agoda-3805449054?refId=8%2FWTbww8iY4Pd%2BWlCGoAKw%3D%3D&trackingId=Jem2lI5gkVuVkSHOc3BalA%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
26,https://de.linkedin.com/jobs/view/businessanalyst-in-m-w-div-at-deutsche-rentenversicherung-bund-3706794548?refId=8%2FWTbww8iY4Pd%2BWlCGoAKw%3D%3D&trackingId=HGrh335gIAN3pzsZ1EiG9Q%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
27,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-43-cl-27-2-at-moyyn-3587529775?refId=8%2FWTbww8iY4Pd%2BWlCGoAKw%3D%3D&trackingId=wNL6ZKwddENXF3SwjRi9Iw%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
28,https://de.linkedin.com/jobs/view/business-analyst-renewables-all-genders-at-saxovent-smart-eco-investments-gmbh-3803170693?refId=8%2FWTbww8iY4Pd%2BWlCGoAKw%3D%3D&trackingId=4w5pMBnRnrKf6YZKxXnZ1Q%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
29,https://de.linkedin.com/jobs/view/senior-marketing-analyst-d-f-m-at-immoscout24-3767071344?refId=8%2FWTbww8iY4Pd%2BWlCGoAKw%3D%3D&trackingId=SsC4%2BBEjVi4xlnLvg41CJg%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
30,https://de.linkedin.com/jobs/view/duales-studium-bwl-versicherung-b-a-at-devk-versicherungen-3708928337?refId=8%2FWTbww8iY4Pd%2BWlCGoAKw%3D%3D&trackingId=yi3ljku9CuL%2B7Rie1dx9kw%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
31,https://de.linkedin.com/jobs/view/business-analyst-workflow-utility-for-operational-planning-m-w-d-at-freiberger-lebensmittel-gmbh-3735702336?refId=8%2FWTbww8iY4Pd%2BWlCGoAKw%3D%3D&trackingId=%2BRQU30TY%2F8qPUBEvsJCiHw%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
32,https://de.linkedin.com/jobs/view/duales-studium-bwl-b-a-am-campus-oder-online-at-iu-internationale-hochschule-3802373231?refId=8%2FWTbww8iY4Pd%2BWlCGoAKw%3D%3D&trackingId=v4wllJqRNU7tutxZVDb1pA%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
33,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-cbtw-3810405715?refId=8%2FWTbww8iY4Pd%2BWlCGoAKw%3D%3D&trackingId=NRSZE92C6qsWO7hF3TdjAA%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
